index,srv-geo_autoscaler_requested_pods,srv-geo_autoscaler_terminating_pods,srv-geo_autoscaler_actual_pods,srv-geo_autoscaler_desired_pods,srv-geo_autoscaler_stable_request_concurrency,srv-geo_autoscaler_panic_request_concurrency,srv-geo_autoscaler_target_concurrency_per_pod,srv-geo_autoscaler_excess_burst_capacity,srv-geo_container_cpu_usage_seconds_total,srv-profile_autoscaler_requested_pods,srv-profile_autoscaler_terminating_pods,srv-profile_autoscaler_actual_pods,srv-profile_autoscaler_desired_pods,srv-profile_autoscaler_stable_request_concurrency,srv-profile_autoscaler_panic_request_concurrency,srv-profile_autoscaler_target_concurrency_per_pod,srv-profile_autoscaler_excess_burst_capacity,srv-profile_container_cpu_usage_seconds_total,srv-rate_autoscaler_requested_pods,srv-rate_autoscaler_terminating_pods,srv-rate_autoscaler_actual_pods,srv-rate_autoscaler_desired_pods,srv-rate_autoscaler_stable_request_concurrency,srv-rate_autoscaler_panic_request_concurrency,srv-rate_autoscaler_target_concurrency_per_pod,srv-rate_autoscaler_excess_burst_capacity,srv-rate_container_cpu_usage_seconds_total,srv-recommendation_autoscaler_requested_pods,srv-recommendation_autoscaler_terminating_pods,srv-recommendation_autoscaler_actual_pods,srv-recommendation_autoscaler_desired_pods,srv-recommendation_autoscaler_stable_request_concurrency,srv-recommendation_autoscaler_panic_request_concurrency,srv-recommendation_autoscaler_target_concurrency_per_pod,srv-recommendation_autoscaler_excess_burst_capacity,srv-recommendation_container_cpu_usage_seconds_total,srv-reservation_autoscaler_requested_pods,srv-reservation_autoscaler_terminating_pods,srv-reservation_autoscaler_actual_pods,srv-reservation_autoscaler_desired_pods,srv-reservation_autoscaler_stable_request_concurrency,srv-reservation_autoscaler_panic_request_concurrency,srv-reservation_autoscaler_target_concurrency_per_pod,srv-reservation_autoscaler_excess_burst_capacity,srv-reservation_container_cpu_usage_seconds_total,srv-search_autoscaler_requested_pods,srv-search_autoscaler_terminating_pods,srv-search_autoscaler_actual_pods,srv-search_autoscaler_desired_pods,srv-search_autoscaler_stable_request_concurrency,srv-search_autoscaler_panic_request_concurrency,srv-search_autoscaler_target_concurrency_per_pod,srv-search_autoscaler_excess_burst_capacity,srv-search_container_cpu_usage_seconds_total
1759618815,3.0,0.0,3.0,3.0,3.863848,0.0,7.0,-181.0,0.2567777219330531,3.0,0.0,3.0,4.0,27.50419,0.0,7.0,-181.0,0.21821373115642304,3.0,2.0,0.0,0.0,0.0,0.0,7.0,-211.0,0.17194750992119717,3.0,0.0,3.0,3.0,2.689258,0.0,7.0,-181.0,0.17720365173355995,3.0,0.0,3.0,3.0,0.138048,0.0,7.0,-181.0,0.11920821426286397,3.0,0.0,3.0,15.0,374.423103,0.0,7.0,-181.0,0.45482433037754577
1759618820,3.0,0.0,3.0,3.0,3.863848,0.0,7.0,-181.0,0.2545774995241943,3.0,0.0,3.0,4.0,27.50419,0.0,7.0,-181.0,0.20956180040761685,3.0,2.0,0.0,0.0,0.0,0.0,7.0,-211.0,0.16131249354792424,3.0,0.0,3.0,3.0,2.689258,0.0,7.0,-181.0,0.17661213897175063,3.0,0.0,3.0,3.0,0.138048,0.0,7.0,-181.0,0.09964292504523936,3.0,0.0,3.0,15.0,374.423103,0.0,7.0,-181.0,0.45458363939982005
1759618825,3.0,0.0,3.0,3.0,3.863848,0.0,7.0,-181.0,0.2385818931052739,3.0,0.0,3.0,4.0,27.50419,0.0,7.0,-181.0,0.17985785966352383,3.0,2.0,0.0,0.0,0.0,0.0,7.0,-211.0,0.1145436190500479,3.0,0.0,3.0,3.0,2.689258,0.0,7.0,-181.0,0.16239859159115239,3.0,0.0,3.0,3.0,0.138048,0.0,7.0,-181.0,0.0909270355193626,3.0,0.0,3.0,15.0,374.423103,0.0,7.0,-181.0,0.40693505408019637
1759618825,3.0,0.0,3.0,3.0,3.863848,0.0,7.0,-181.0,0.2385818931052739,3.0,0.0,3.0,4.0,27.50419,0.0,7.0,-181.0,0.17985785966352383,3.0,2.0,0.0,0.0,0.0,0.0,7.0,-211.0,0.21642331169760715,1.0,0.0,0.0,,,,,,0.01729393597875603,3.0,0.0,3.0,3.0,0.138048,0.0,7.0,-181.0,0.12063847020407703,3.0,0.0,3.0,15.0,374.423103,0.0,7.0,-181.0,0.43749606890031223
1759618830,3.0,0.0,3.0,3.0,0.999464,0.0,7.0,-181.0,0.22601376592836941,3.0,0.0,3.0,5.0,33.326501,0.0,7.0,-181.0,0.14676576891259002,3.0,2.0,0.0,0.0,0.0,0.0,7.0,-211.0,0.23512045799864026,1.0,0.0,1.0,0.0,0.0,0.0,35.0,-161.0,0.019748711394849065,3.0,2.0,3.0,3.0,0.738638,0.0,7.0,-181.0,0.11354461312735668,3.0,0.0,3.0,4.0,25.997171,0.0,7.0,-181.0,0.43749606890031223
1759618835,3.0,0.0,3.0,3.0,0.999464,0.0,7.0,-181.0,0.22602508490739479,3.0,0.0,3.0,5.0,33.326501,0.0,7.0,-181.0,0.13752826210110988,3.0,2.0,0.0,0.0,0.0,0.0,7.0,-211.0,0.20823483195413175,1.0,0.0,1.0,0.0,0.0,0.0,35.0,-161.0,0.0222034868109421,3.0,2.0,3.0,3.0,0.738638,0.0,7.0,-181.0,0.10180932831653629,3.0,0.0,3.0,4.0,25.997171,0.0,7.0,-181.0,0.42403374483693035
1759618840,3.0,0.0,3.0,3.0,0.999464,0.0,7.0,-181.0,0.22039554788156063,3.0,0.0,3.0,5.0,33.326501,0.0,7.0,-181.0,0.10543170807813668,3.0,2.0,0.0,0.0,0.0,0.0,7.0,-211.0,0.1371981355998845,1.0,0.0,1.0,0.0,0.0,0.0,35.0,-161.0,0.03276415293588849,3.0,2.0,3.0,3.0,0.738638,0.0,7.0,-181.0,0.10960736710945197,3.0,0.0,3.0,4.0,25.997171,0.0,7.0,-181.0,0.4084542827732771
1759618845,3.0,0.0,3.0,3.0,0.999464,0.0,7.0,-181.0,0.19020993995990598,3.0,0.0,3.0,5.0,33.326501,0.0,7.0,-181.0,0.08827193719772941,3.0,2.0,0.0,0.0,0.0,0.0,7.0,-211.0,0.13786932975362215,1.0,0.0,1.0,0.0,0.0,0.0,35.0,-161.0,0.06193924607639078,3.0,2.0,3.0,3.0,0.738638,0.0,7.0,-181.0,0.10789512765922704,3.0,0.0,3.0,4.0,25.997171,0.0,7.0,-181.0,0.4121967280268246
1759618850,3.0,0.0,3.0,3.0,0.999464,0.0,7.0,-181.0,0.20762131028048778,3.0,0.0,3.0,5.0,33.326501,0.0,7.0,-181.0,0.018906825000000002,3.0,2.0,0.0,0.0,0.0,0.0,7.0,-211.0,0.1961983692903875,1.0,0.0,1.0,0.0,0.0,0.0,35.0,-161.0,0.07273861564041052,3.0,2.0,3.0,3.0,0.738638,0.0,7.0,-181.0,0.11735454772339018,3.0,0.0,3.0,4.0,25.997171,0.0,7.0,-181.0,0.4170683969259422
1759618855,3.0,0.0,3.0,3.0,0.999464,0.0,7.0,-181.0,0.20953141242980527,3.0,0.0,3.0,5.0,33.326501,0.0,7.0,-181.0,0.018906825000000002,3.0,2.0,0.0,0.0,0.0,0.0,7.0,-211.0,0.2100323616865224,1.0,0.0,1.0,0.0,0.0,0.0,35.0,-161.0,0.09779546619176553,3.0,2.0,3.0,3.0,0.738638,0.0,7.0,-181.0,0.14108140913596975,3.0,0.0,3.0,4.0,25.997171,0.0,7.0,-181.0,0.4159349895602755
1759618860,3.0,0.0,3.0,3.0,1.369139,0.0,7.0,-181.0,0.1899411363741742,3.0,2.0,3.0,3.0,13.380412,0.0,7.0,-181.0,0.018906825000000002,3.0,2.0,2.0,5.0,916.12736,0.0,7.0,-211.0,0.19050381039492326,3.0,0.0,3.0,3.0,0.687337,0.771734,35.0,-62.0,0.1040043816118872,0.0,4.0,1.0,0.0,-1e-06,0.0,7.0,-201.0,0.16656881005274418,3.0,0.0,3.0,3.0,12.026336,0.0,7.0,-181.0,0.4182620372211632
1759618865,3.0,0.0,3.0,3.0,1.369139,0.0,7.0,-181.0,0.20337026506642486,3.0,2.0,3.0,3.0,13.380412,0.0,7.0,-181.0,0.048756397746058854,3.0,2.0,2.0,5.0,916.12736,0.0,7.0,-211.0,0.2037359827265488,3.0,0.0,3.0,3.0,0.687337,0.771734,35.0,-62.0,0.1383124091088386,0.0,4.0,1.0,0.0,-1e-06,0.0,7.0,-201.0,0.16833351064316038,3.0,0.0,3.0,3.0,12.026336,0.0,7.0,-181.0,0.3637221676974495
1759618870,3.0,0.0,3.0,3.0,1.369139,0.0,7.0,-181.0,0.2055816332188428,3.0,2.0,3.0,3.0,13.380412,0.0,7.0,-181.0,0.058183136924914,3.0,2.0,2.0,5.0,916.12736,0.0,7.0,-211.0,0.12344377657934082,3.0,0.0,3.0,3.0,0.687337,0.771734,35.0,-62.0,0.13936375420246339,0.0,4.0,1.0,0.0,-1e-06,0.0,7.0,-201.0,0.1289037212970125,3.0,0.0,3.0,3.0,12.026336,0.0,7.0,-181.0,0.4148194133916249
1759618875,3.0,0.0,3.0,3.0,1.369139,0.0,7.0,-181.0,0.19869984992317047,3.0,2.0,3.0,3.0,13.380412,0.0,7.0,-181.0,0.12395741327095948,3.0,2.0,2.0,5.0,916.12736,0.0,7.0,-211.0,0.15386797109028413,3.0,0.0,3.0,3.0,0.687337,0.771734,35.0,-62.0,0.14737118837706614,0.0,4.0,1.0,0.0,-1e-06,0.0,7.0,-201.0,0.13999480874053663,3.0,0.0,3.0,3.0,12.026336,0.0,7.0,-181.0,0.4168554841274882
1759618880,3.0,0.0,3.0,3.0,1.369139,0.0,7.0,-181.0,0.18894198809026086,3.0,2.0,3.0,3.0,13.380412,0.0,7.0,-181.0,0.1162936313251246,3.0,2.0,2.0,5.0,916.12736,0.0,7.0,-211.0,0.15890154362095305,3.0,0.0,3.0,3.0,0.687337,0.771734,35.0,-62.0,0.16191119830719922,0.0,4.0,1.0,0.0,-1e-06,0.0,7.0,-201.0,0.15036306077486902,3.0,0.0,3.0,3.0,12.026336,0.0,7.0,-181.0,0.40122537246372497
1759618885,3.0,0.0,3.0,3.0,1.369139,0.0,7.0,-181.0,0.18356817562358452,3.0,2.0,3.0,3.0,13.380412,0.0,7.0,-181.0,0.13631623694739858,3.0,2.0,2.0,5.0,916.12736,0.0,7.0,-211.0,0.13895710837928768,3.0,0.0,3.0,3.0,0.687337,0.771734,35.0,-62.0,0.16229785269448344,0.0,4.0,1.0,0.0,-1e-06,0.0,7.0,-201.0,0.12136953108725598,3.0,0.0,3.0,3.0,12.026336,0.0,7.0,-181.0,0.3636461905472275
1759618885,3.0,0.0,3.0,,3.0,1.369139,0.0,7.0,-181.0,0.19645142886890546,3.0,2.0,3.0,,3.0,13.380412,0.0,7.0,-181.0,0.13408187671435706,3.0,2.0,2.0,,5.0,916.12736,0.0,7.0,-211.0,,3.0,0.0,3.0,,3.0,0.687337,0.771734,35.0,-62.0,0.15303191299764562,0.0,4.0,1.0,,0.0,-1e-06,0.0,7.0,-201.0,0.11822326095058966,3.0,0.0,3.0,,3.0,12.026336,0.0,7.0,-181.0,0.3972464804714683
1759618890,3.0,0.0,3.0,,3.0,0.573173,0.0,7.0,-181.0,0.200491051253117,3.0,0.0,3.0,,3.0,1.368883,0.0,7.0,-181.0,0.13881976888725786,3.0,2.0,0.0,,0.0,0.0,0.0,7.0,-211.0,,3.0,0.0,3.0,,3.0,0.658227,0.418651,35.0,-62.0,0.15778275278577295,3.0,0.0,3.0,,3.0,0.443957,0.0,7.0,-181.0,0.13697338764324615,3.0,0.0,3.0,,3.0,9.307334,0.0,7.0,-181.0,0.41394181259132357
1759618895,3.0,0.0,3.0,,3.0,0.573173,0.0,7.0,-181.0,0.20651599457941183,3.0,0.0,3.0,,3.0,1.368883,0.0,7.0,-181.0,0.16898342387273804,3.0,2.0,0.0,,0.0,0.0,0.0,7.0,-211.0,,3.0,0.0,3.0,,3.0,0.658227,0.418651,35.0,-62.0,0.1623526301951169,3.0,0.0,3.0,,3.0,0.443957,0.0,7.0,-181.0,0.11412853303595084,3.0,0.0,3.0,,3.0,9.307334,0.0,7.0,-181.0,0.4022064158836823
1759618900,3.0,0.0,3.0,,3.0,0.573173,0.0,7.0,-181.0,0.20444783739861153,3.0,0.0,3.0,,3.0,1.368883,0.0,7.0,-181.0,0.1881606430290626,3.0,2.0,0.0,,0.0,0.0,0.0,7.0,-211.0,,3.0,0.0,3.0,,3.0,0.658227,0.418651,35.0,-62.0,0.15006217592164206,3.0,0.0,3.0,,3.0,0.443957,0.0,7.0,-181.0,0.08702197381072085,3.0,0.0,3.0,,3.0,9.307334,0.0,7.0,-181.0,0.42011579026882273
1759618905,3.0,0.0,3.0,,3.0,0.573173,0.0,7.0,-181.0,0.1970564324420988,3.0,0.0,3.0,,3.0,1.368883,0.0,7.0,-181.0,0.2020230654503402,3.0,2.0,0.0,,0.0,0.0,0.0,7.0,-211.0,0.0006058091219768664,3.0,0.0,3.0,,3.0,0.658227,0.418651,35.0,-62.0,0.12159813341557732,3.0,0.0,3.0,,3.0,0.443957,0.0,7.0,-181.0,0.09381829198518266,3.0,0.0,3.0,,3.0,9.307334,0.0,7.0,-181.0,0.38781306653019015
1759618910,3.0,0.0,3.0,,3.0,0.573173,0.0,7.0,-181.0,0.19482681699490628,3.0,0.0,3.0,,3.0,1.368883,0.0,7.0,-181.0,0.19630462497721124,3.0,2.0,0.0,,0.0,0.0,0.0,7.0,-211.0,0.0007598492770767612,3.0,0.0,3.0,,3.0,0.658227,0.418651,35.0,-62.0,0.12971317898085147,3.0,0.0,3.0,,3.0,0.443957,0.0,7.0,-181.0,0.18591424965945078,3.0,0.0,3.0,,3.0,9.307334,0.0,7.0,-181.0,0.39517761129823575
1759618915,3.0,0.0,3.0,,3.0,0.573173,0.0,7.0,-181.0,0.18123192547266176,3.0,0.0,3.0,,3.0,1.368883,0.0,7.0,-181.0,0.16156595880933458,3.0,2.0,0.0,,0.0,0.0,0.0,7.0,-211.0,0.0006250333333333333,3.0,0.0,3.0,,3.0,0.658227,0.418651,35.0,-62.0,0.1254965699637799,3.0,0.0,3.0,,3.0,0.443957,0.0,7.0,-181.0,0.21061676575826574,3.0,0.0,3.0,,3.0,9.307334,0.0,7.0,-181.0,0.3935400997856911
1759618920,3.0,0.0,3.0,,3.0,6.438594,2.663352,7.0,-184.0,0.18263560676437834,3.0,0.0,2.0,,4.0,21.752379,39.196928,7.0,-231.0,0.1516106194456421,3.0,2.0,0.0,,5.0,620.72454,1562.358533,7.0,-1774.0,0.0006650973184292638,3.0,0.0,3.0,,3.0,1.038366,3.272772,35.0,-65.0,0.12090572889075649,3.0,2.0,3.0,,3.0,2.080582,0.0,7.0,-181.0,0.22445579186185105,3.0,0.0,3.0,,15.0,705.802812,1574.300559,7.0,-1756.0,0.38515056601242426
1759618925,3.0,0.0,3.0,,3.0,6.438594,2.663352,7.0,-184.0,0.1759855341332869,3.0,0.0,2.0,,4.0,21.752379,39.196928,7.0,-231.0,0.13570810893403493,3.0,2.0,0.0,,5.0,620.72454,1562.358533,7.0,-1774.0,0.000757811253236407,3.0,0.0,3.0,,3.0,1.038366,3.272772,35.0,-65.0,0.11971065140490117,3.0,2.0,3.0,,3.0,2.080582,0.0,7.0,-181.0,0.19265539573809956,3.0,0.0,3.0,,15.0,705.802812,1574.300559,7.0,-1756.0,0.37350477585458064
1759618930,3.0,0.0,3.0,18.175953679269778,3.0,6.438594,2.663352,7.0,-184.0,0.17387148295841565,3.0,0.0,2.0,34.97415702378541,4.0,21.752379,39.196928,7.0,-231.0,0.11820090613442219,3.0,2.0,0.0,1256.367220591259,5.0,620.72454,1562.358533,7.0,-1774.0,0.0006982749999999999,3.0,0.0,3.0,26.915021939006014,3.0,1.038366,3.272772,35.0,-65.0,0.10989387624267549,3.0,2.0,3.0,3.6846663631709653,3.0,2.080582,0.0,7.0,-181.0,0.15370500353983194,3.0,0.0,3.0,1536.0215272220128,15.0,705.802812,1574.300559,7.0,-1756.0,0.3555111272078865
1759618935,3.0,0.0,3.0,18.175953679269778,3.0,6.438594,2.663352,7.0,-184.0,0.16535708280735828,3.0,0.0,2.0,34.97415702378541,4.0,21.752379,39.196928,7.0,-231.0,0.07753623462379021,3.0,2.0,0.0,1256.367220591259,5.0,620.72454,1562.358533,7.0,-1774.0,0.0006982749999999999,3.0,0.0,3.0,26.915021939006014,3.0,1.038366,3.272772,35.0,-65.0,0.11520047270014186,3.0,2.0,3.0,3.6846663631709653,3.0,2.080582,0.0,7.0,-181.0,0.1672774407415908,3.0,0.0,3.0,1536.0215272220128,15.0,705.802812,1574.300559,7.0,-1756.0,0.34541832107749004
1759618940,3.0,0.0,3.0,18.175953679269778,3.0,6.438594,2.663352,7.0,-184.0,0.15016910047952403,3.0,0.0,2.0,34.97415702378541,4.0,21.752379,39.196928,7.0,-231.0,0.060460358462071456,3.0,2.0,0.0,1256.367220591259,5.0,620.72454,1562.358533,7.0,-1774.0,0.0007748891600278827,3.0,0.0,3.0,26.915021939006014,3.0,1.038366,3.272772,35.0,-65.0,0.11854302261573371,3.0,2.0,3.0,3.6846663631709653,3.0,2.080582,0.0,7.0,-181.0,0.16056013007028588,3.0,0.0,3.0,1536.0215272220128,15.0,705.802812,1574.300559,7.0,-1756.0,0.3369046596846031
1759618945,3.0,0.0,3.0,18.175953679269778,3.0,6.438594,2.663352,7.0,-184.0,0.13755684082159403,3.0,0.0,2.0,34.97415702378541,4.0,21.752379,39.196928,7.0,-231.0,0.028842702251119578,3.0,2.0,0.0,1256.367220591259,5.0,620.72454,1562.358533,7.0,-1774.0,0.0006821752252207396,3.0,0.0,3.0,26.915021939006014,3.0,1.038366,3.272772,35.0,-65.0,0.11758609976247558,3.0,2.0,3.0,3.6846663631709653,3.0,2.080582,0.0,7.0,-181.0,0.15654824996209715,3.0,0.0,3.0,1536.0215272220128,15.0,705.802812,1574.300559,7.0,-1756.0,0.3210900883447003
1759618945,3.0,0.0,3.0,18.175953679269778,3.0,6.438594,2.663352,7.0,-184.0,0.15939101193903105,3.0,0.0,2.0,34.97415702378541,4.0,21.752379,39.196928,7.0,-231.0,0.028842702251119578,3.0,2.0,0.0,1256.367220591259,5.0,620.72454,1562.358533,7.0,-1774.0,0.0006821752252207396,3.0,0.0,3.0,26.915021939006014,3.0,1.038366,3.272772,35.0,-65.0,0.11193970272651647,3.0,2.0,3.0,3.6846663631709653,3.0,2.080582,0.0,7.0,-181.0,0.1507112269395299,3.0,0.0,3.0,1536.0215272220128,15.0,705.802812,1574.300559,7.0,-1756.0,0.32459022307236635
1759618950,3.0,0.0,3.0,18.175953679269778,3.0,0.232209,0.113909,7.0,-182.0,0.1555350244895412,3.0,0.0,1.0,34.97415702378541,3.0,0.69351,0.018051,7.0,-202.0,0.02327235476447063,3.0,0.0,1.0,1256.367220591259,5.0,3240.547448,3208.044924,7.0,-3420.0,0.0005894612904135962,3.0,0.0,3.0,26.915021939006014,3.0,3.971019,0.575963,35.0,-62.0,0.09856277934585103,0.0,3.0,0.0,3.6846663631709653,0.0,-1e-06,0.0,7.0,-211.0,0.16123686217638064,3.0,0.0,3.0,1536.0215272220128,15.0,3240.699855,3207.837657,7.0,-3389.0,0.3162696312204341
1759618955,3.0,0.0,3.0,18.175953679269778,3.0,0.232209,0.113909,7.0,-182.0,0.13456681651891922,3.0,0.0,1.0,34.97415702378541,3.0,0.69351,0.018051,7.0,-202.0,0.015926311405166982,3.0,0.0,1.0,1256.367220591259,5.0,3240.547448,3208.044924,7.0,-3420.0,0.00028627802285943456,3.0,0.0,3.0,26.915021939006014,3.0,3.971019,0.575963,35.0,-62.0,0.0988241404406508,0.0,3.0,0.0,3.6846663631709653,0.0,-1e-06,0.0,7.0,-211.0,0.14559906759281657,3.0,0.0,3.0,1536.0215272220128,15.0,3240.699855,3207.837657,7.0,-3389.0,0.2724036327674403
